35,417.96,135,52.3096
18,259.613,595,51.5944
12,212.085,10,53.6371
32,299.805,554,52.057
19,256.13,194,53.7373
22,275.959,901,52.6009
18,255.294,441,52.6311
18,309.071,11,52.3573
12,189.94,3,51.7875
18,248.636,2610,51.1956
26,317.724,30,54.4997
15,208.699,330,53.4272
20,260.668,2138,50.8981
22,270.36,77,54.3757
47,327.892,611,52.046
30,292.506,364,53.4109
25,279.27,467,52.7062
22,267.042,89,53.1049
47,422.487,9947,50.974
18,254.115,419,52.7621
24,269.242,1431,51.2852
19,255.958,578,51.4088
17,244.365,5825,51.1616
12,184.066,10,52.1075
29,298.167,961,52.5736
22,270.953,316,52.7228
40,398.633,611,51.8697
19,304.888,469,53.1689
23,273.295,408,52.1954
20,262.933,383,52.5535
17,260.564,268,53.9571
16,214.65,47,54.5421
21,278.866,392,53.246
16,218.555,4879,51.4615
34,316.786,450,52.583
19,257.338,3471,51.1103
19,257.669,523,52.5819
17,255.47,801,52.7342
28,276.379,5926,51.1969
19,245.85,465,52.4827
19,252.848,12143,50.6663
17,255.236,36,54.4338
14,207.438,1761,51.5776
18,252.908,5805,51.3093
18,245.724,511,52.8097
12,185.262,2,50.656
16,217.418,39,52.8751
30,300.006,1493,51.5685
23,253.231,415,52.1747
16,212.356,6749,50.9711
19,254.552,485,52.7197
19,255.689,3601,51.4017
21,271.567,362,53.192
17,248.938,510,53.1081
19,257.543,605,51.7515
19,255.965,368,53.0295
23,263.053,9086,50.9269
22,275.565,87,51.7288
47,328.973,485,52.3086
20,264.746,3390,51.4967
20,258.615,380,53.0164
20,261.005,164,52.8256
24,270.663,159,53.1025
22,275.162,17,53.9616
48,325.126,487,52.7152
25,280.817,321,52.7487
12,181.89,3,51.9606
30,298.371,973,51.3331
18,257.467,281,52.7683
19,253.377,472,52.8481
22,275.897,27,54.5484
47,326.684,459,53.7985
22,276.51,32,53.4352
47,344.479,563,52.6045
27,295.356,452,53.7197
20,261.056,44,53.9712
15,209.999,110,53.9302
19,255.407,7049,51.3089
25,281.155,588,52.305
31,297.274,760,51.4361
17,296.684,364,54.0037
22,272.557,243,53.1585
47,410.904,509,52.7772
17,251.781,508,53.0844
17,263.439,500,52.8162
22,278.256,6592,50.9872
49,337.252,1224,52.369
23,265.16,709,52.7322
24,264.259,252,52.7917
36,310.07,93,53.283
23,270.229,37,53.6427
45,414.666,183,54.0939
19,257.035,487,52.7288
23,267.641,2110,51.831
22,272.105,1205,51.8485
22,271.039,43,53.2346
49,346.326,1132,51.2682
22,275.01,26,53.331
47,329.314,699,51.5185
21,279.776,1272,51.4291
18,243.523,570,52.2652
33,313.152,600,53.2469
